Authority ID,Authority Type,Preferred Form,Display Form,Sort Key,Variant Forms,Office Or Role,Date Span,Date Evidence Status,Source Family,Source Anchor,Scopes,Related Lanes,Related Candidate IDs,Related Pull Sheets,Authority Status,Review Needed,Review Action,Boundary Note,Compiler Use,Notes
AUTH-PER-001,Person,"Roosevelt, Franklin D.",Franklin D. Roosevelt,Roosevelt Franklin,FDR; President Roosevelt,"President of the United States, 1933-1945",1933-1945,Provisional source-map authority; verify against selected source note,FDR Library collections,https://www.fdrlibrary.org/collections-list,White House; Public Line; Peace Aims,White House; Public Line; Peace Aims,"","",Presidential papers anchor,Source-note check,"Confirm preferred name form, title date, and office in first selected source copy before final persons-list text.","","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-002,Person,"Roosevelt, Eleanor",Eleanor Roosevelt,Roosevelt Eleanor,ER; Mrs. Roosevelt,First Lady; public advocate and internationalist voice,Needs selected-source title-date check,Provisional source-map authority; verify against selected source note,FDR Library collections,https://www.fdrlibrary.org/collections-list,Public Line; Cultural Exchange,Public Line; Cultural Exchange,"","",Context authority,Source-note check,"Confirm preferred name form, title date, and office in first selected source copy before final persons-list text.","","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-003,Person,"Davis, Elmer",Elmer Davis,Davis Elmer,"","Director, Office of War Information",Needs selected-source title-date check,Provisional source-map authority; verify against selected source note,NARA RG 208,https://www.archives.gov/research/guide-fed-records/groups/208.html,OWI; Organization,OWI; Organization,"","",Agency head,Source-note check,"Confirm preferred name form, title date, and office in first selected source copy before final persons-list text.","","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-004,Person,"Mellett, Lowell",Lowell Mellett,Mellett Lowell,"","Director, Office of Government Reports; OWI motion picture official",Needs selected-source title-date check,Provisional source-map authority; verify against selected source note,NARA RG 44,https://www.archives.gov/research/guide-fed-records/groups/044.html,OGR; Film; OWI,OGR; Film; OWI,"","",Agency official,Source-note check,"Confirm preferred name form, title date, and office in first selected source copy before final persons-list text.","","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-005,Person,"Hopkins, Harry L.",Harry L. Hopkins,Hopkins Harry,Harry Hopkins,Presidential adviser and wartime White House official,Needs selected-source title-date check,Provisional source-map authority; verify against selected source note,FDR Library collections,https://www.fdrlibrary.org/collections-list,White House; War Aims,White House; War Aims,"","",White House authority,Source-note check,"Confirm preferred name form, title date, and office in first selected source copy before final persons-list text.","","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-006,Person,"Rockefeller, Nelson A.",Nelson A. Rockefeller,Rockefeller Nelson,Nelson Rockefeller,Coordinator of Inter-American Affairs,Needs selected-source title-date check,Provisional source-map authority; verify against selected source note,NARA RG 229,https://www.archives.gov/research/guide-fed-records/groups/229.html,OCIAA; Hemisphere,OCIAA; Hemisphere,"","",Agency head,Source-note check,"Confirm preferred name form, title date, and office in first selected source copy before final persons-list text.","","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-007,Person,"Donovan, William J.",William J. Donovan,Donovan William,Wild Bill Donovan,"Coordinator of Information; Director, Office of Strategic Services",Needs selected-source title-date check,Provisional source-map authority; verify against selected source note,NARA RG 226,https://www.archives.gov/research/military/ww2/oss/series.html,COI; OSS; Boundary,COI; OSS; Boundary,"","",Boundary authority,Source-note check,"Confirm preferred name form, title date, and office in first selected source copy before final persons-list text.",Use only when selected documents meet boundary promotion rules.,"Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-008,Person,"MacLeish, Archibald",Archibald MacLeish,MacLeish Archibald,"",Librarian of Congress; Assistant Secretary of State for Public and Cultural Relations,Needs selected-source title-date check,Provisional source-map authority; verify against selected source note,Public diplomacy source map,https://history.state.gov/historicaldocuments/frus1917-72PubDipv03,State Department; Public Diplomacy; Handoff,State Department; Public Diplomacy; Handoff,"","",State handoff authority,Source-note check,"Confirm preferred name form, title date, and office in first selected source copy before final persons-list text.","","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-009,Person,"Sherwood, Robert E.",Robert E. Sherwood,Sherwood Robert,Robert Sherwood,Writer and OWI overseas official; presidential speech collaborator,Needs selected-source title-date check,Needs compiler normalization from selected source note,FDR Library and NARA leads,https://www.fdrlibrary.org/collections-list,OWI; Speech; Overseas,OWI; Speech; Overseas,"","",Compiler normalization,Yes,Confirm exact office/title from selected OWI source notes.,"","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-010,Person,"Houseman, John",John Houseman,Houseman John,"",Early Voice of America and OWI radio figure,Needs selected-source title-date check,Needs compiler normalization from selected source note,VOA source leads,https://catalog.archives.gov/search?q=%22Voice%20of%20America%22%20%22Office%20of%20War%20Information%22,VOA; Radio,VOA; Radio,"","",Compiler normalization,Yes,Confirm role and date range from VOA/OWI radio files before final persons entry.,"","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-011,Person,"Price, Byron",Byron Price,Price Byron,"","Director, Office of Censorship",Needs selected-source title-date check,Provisional source-map authority; verify against selected source note,NARA RG 216,https://www.archives.gov/research/guide-fed-records/groups/216.html,Censorship; Broadcast Monitoring,Censorship; Broadcast Monitoring,"","",Boundary authority,Source-note check,"Confirm preferred name form, title date, and office in first selected source copy before final persons-list text.","","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-012,Person,"Hull, Cordell",Cordell Hull,Hull Cordell,"","Secretary of State, 1933-1944",1933-1944,Provisional source-map authority; verify against selected source note,State Department authority,https://www.archives.gov/research/guide-fed-records/groups/059.html,State Department; Foreign Policy,State Department; Foreign Policy,"","",State official,Source-note check,"Confirm preferred name form, title date, and office in first selected source copy before final persons-list text.","","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-013,Person,"Stettinius, Edward R., Jr.","Edward R. Stettinius, Jr.",Stettinius Edward,Edward Stettinius,"Secretary of State, 1944-1945",1944-1945,Provisional source-map authority; verify against selected source note,State Department authority,https://www.archives.gov/research/guide-fed-records/groups/059.html,State Department; United Nations; Handoff,State Department; United Nations; Handoff,"","",State official,Source-note check,"Confirm preferred name form, title date, and office in first selected source copy before final persons-list text.","","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-014,Person,"Berle, Adolf A., Jr.","Adolf A. Berle, Jr.",Berle Adolf,Adolf Berle,Assistant Secretary of State; diplomat in Latin America,Needs selected-source title-date check,Provisional source-map authority; verify against selected source note,FDR Library collections,https://www.fdrlibrary.org/collections-list,State Department; Hemisphere,State Department; Hemisphere,"","",State official,Source-note check,"Confirm preferred name form, title date, and office in first selected source copy before final persons-list text.","","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-015,Person,"Early, Stephen T.",Stephen T. Early,Early Stephen,Steve Early,White House Press Secretary,Needs selected-source title-date check,Provisional source-map authority; verify against selected source note,FDR Library collections,https://www.fdrlibrary.org/collections-list,White House; Press,White House; Press,"","",White House authority,Source-note check,"Confirm preferred name form, title date, and office in first selected source copy before final persons-list text.","","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-016,Person,"Rosenman, Samuel I.",Samuel I. Rosenman,Rosenman Samuel,Sam Rosenman,Special Counsel to the President; speech adviser,Needs selected-source title-date check,Provisional source-map authority; verify against selected source note,FDR Library collections,https://www.fdrlibrary.org/collections-list,White House; Speech,White House; Speech,"","",Speech authority,Source-note check,"Confirm preferred name form, title date, and office in first selected source copy before final persons-list text.","","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-017,Person,"Morrow, Malcolm",Malcolm Morrow,Morrow Malcolm,"","Chief, Division of Public Inquiries, OWI Bureau of Special Services",Needs selected-source title-date check,Provisional source-map authority; verify against selected source note,NARA RG 44,https://www.archives.gov/research/guide-fed-records/groups/044.html,OWI; Public Inquiries,OWI; Public Inquiries,"","",Agency official,Source-note check,"Confirm preferred name form, title date, and office in first selected source copy before final persons-list text.","","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-PER-018,Person,"Mercey, Arch",Arch Mercey,Mercey Arch,Archibald Mercey,"Special assistant, Coordinator of Government Films; U.S. Film Service material",Needs selected-source title-date check,Needs compiler normalization from selected source note,NARA RG 44,https://www.archives.gov/research/guide-fed-records/groups/044.html,Film; OGR,Film; OGR,"","",Agency official,Yes,Confirm preferred name form from selected records.,"","Normalize author, recipient, routing, annotation, index, and persons-list entries.",""
AUTH-ORG-001,Office/Organization,Office of Government Reports,Office of Government Reports,Office of Government Reports,OGR,Predecessor information agency and first USIS parent,1939-1942 core wartime predecessor lane,Provisional source-map authority; verify against selected source note or administrative record,NARA RG 44,https://www.archives.gov/research/guide-fed-records/groups/044.html,Prewar Information Policy; Organization,Prewar Information Policy,"","",Organization authority control,Source-note check,Confirm exact office succession and title dates from RG 44 administrative files before final annotation.,Use as predecessor context when it explains wartime OWI or State information policy.,"Normalize office names, agency succession, source notes, annotation, and index terms.",""
AUTH-ORG-002,Office/Organization,United States Information Service,United States Information Service,United States Information Service,USIS; First USIS,Early federal information service in OGR lineage,1939-1942 predecessor lane,Provisional source-map authority; verify against selected source note or administrative record,NARA RG 44,https://www.archives.gov/research/guide-fed-records/groups/044.html,Prewar Information Policy; Public Inquiries,Prewar Information Policy,"","",Organization authority control,Source-note check,Separate first USIS usage from later postwar USIS references in selected documents.,Promote only when predecessor terminology affects wartime public-diplomacy organization.,"Normalize office names, agency succession, source notes, annotation, and index terms.",""
AUTH-ORG-003,Office/Organization,Office of the Coordinator of Government Films,Office of the Coordinator of Government Films,Office of the Coordinator of Government Films,Coordinator of Government Films; OCGF,Film-policy predecessor and OWI carryover office,1941-1942 source-lead span,Provisional source-map authority; verify against selected source note or administrative record,NARA RG 44,https://www.archives.gov/research/guide-fed-records/groups/044.html,Film; OGR; OWI,Creating War Information,"","",Organization authority control,Source-note check,Confirm office title and Mercey role from selected RG 44/OWI film records.,Use only when film policy connects to foreign information decisions or OWI handoff.,"Normalize office names, agency succession, source notes, annotation, and index terms.",""
AUTH-ORG-004,Office/Organization,Office of Facts and Figures,Office of Facts and Figures,Office of Facts and Figures,OFF,"Public information, intelligence, and morale predecessor to OWI",1941-1942 source-lead span,Provisional source-map authority; verify against selected source note or administrative record,NARA RG 44 / RG 208,https://www.archives.gov/research/guide-fed-records/groups/044.html,Creating War Information; Public Opinion,Creating War Information,"","",Organization authority control,Source-note check,Tie OFF records to selected policy decisions before using domestic morale material in the main chronology.,Domestic morale material remains supporting evidence unless it shaped foreign information policy.,"Normalize office names, agency succession, source notes, annotation, and index terms.",""
AUTH-ORG-005,Office/Organization,Coordinator of Information,Coordinator of Information,Coordinator of Information,COI,Foreign information and intelligence predecessor; OSS boundary lane,1941-1942 source-lead span,Provisional source-map authority; verify against selected source note or administrative record,NARA OSS reference pages / RG 226,https://www.archives.gov/research/military/ww2/oss/series.html,COI; OSS; Boundary,Creating War Information,"","",Organization authority control,Source-note check,Separate open foreign-information policy records from clandestine intelligence or morale operations.,Boundary pool unless COI records clarify public-diplomacy organization or policy coordination.,"Normalize office names, agency succession, source notes, annotation, and index terms.",""
AUTH-ORG-006,Office/Organization,Office of Strategic Services,Office of Strategic Services,Office of Strategic Services,OSS,Intelligence and psychological-warfare boundary organization,1942-1945 boundary span,Provisional source-map authority; verify against selected source note or administrative record,NARA OSS reference pages / RG 226,https://www.archives.gov/research/military/ww2/oss/series.html,OSS; Boundary,Creating War Information; OWI Overseas and VOA,"","",Organization authority control,Source-note check,Document any direct OWI/State coordination before promoting an OSS-related record.,Exclude clandestine operations unless they bear directly on public-diplomacy policy.,"Normalize office names, agency succession, source notes, annotation, and index terms.",""
AUTH-ORG-007,Office/Organization,Office of War Information,Office of War Information,Office of War Information,OWI,Core wartime public-information agency,1942-1945 core volume span,Provisional source-map authority; verify against selected source note or administrative record,NARA RG 208,https://www.archives.gov/research/guide-fed-records/groups/208.html,OWI; Organization,Creating War Information; OWI Overseas and VOA,"","",Organization authority control,Source-note check,"Normalize office names, branches, bureaus, and title dates from selected RG 208 records.","OWI media output needs policy, implementation, or reaction evidence before selection.","Normalize office names, agency succession, source notes, annotation, and index terms.",""
AUTH-ORG-008,Office/Organization,OWI Overseas Operations Branch,OWI Overseas Operations Branch,OWI Overseas Operations Branch,Overseas Branch; Overseas Operations,"Overseas policy, outpost, publications, radio, and communications channel",1942-1945 core volume span,Provisional source-map authority; verify against selected source note or administrative record,NARA RG 208,https://www.archives.gov/research/guide-fed-records/groups/208.html,OWI; Overseas; Outposts,OWI Overseas and VOA,"","",Organization authority control,Source-note check,Confirm bureau/branch names and outpost chains from source copies before final annotation.,"Promote when records show policy guidance, implementation abroad, or foreign reaction.","Normalize office names, agency succession, source notes, annotation, and index terms.",""
AUTH-ORG-009,Office/Organization,Voice of America,Voice of America,Voice of America,VOA; OWI Radio; shortwave service,Broadcast and language-service public-diplomacy channel,1942-1945 core volume span,Provisional source-map authority; verify against selected source note or administrative record,VOA / OWI radio leads,https://catalog.archives.gov/search?q=%22Voice%20of%20America%22%20%22Office%20of%20War%20Information%22,VOA; Radio,OWI Overseas and VOA,"","",Organization authority control,Source-note check,"Confirm program office, language desk, script, clearance, and monitoring chain for selected radio documents.",Scripts and broadcasts need policy or reaction context before main chronology use.,"Normalize office names, agency succession, source notes, annotation, and index terms.",""
AUTH-ORG-010,Office/Organization,Office of Censorship,Office of Censorship,Office of Censorship,Censorship Office,Shortwave watch and broadcast-monitoring boundary/support source,1941-1945 source-lead span,Provisional source-map authority; verify against selected source note or administrative record,NARA RG 216,https://www.archives.gov/research/guide-fed-records/groups/216.html,Censorship; Broadcast Monitoring,OWI Overseas and VOA,"","",Organization authority control,Source-note check,"Use monitoring logs to support reaction or clearance evidence, not as standalone public-diplomacy decisions.","Boundary/support source unless monitoring shaped policy, diplomatic clearance, or broadcast guidance.","Normalize office names, agency succession, source notes, annotation, and index terms.",""
AUTH-ORG-011,Office/Organization,Office of Inter-American Affairs,Office of Inter-American Affairs,Office of Inter-American Affairs,OIAA; OCIAA; Coordinator of Inter-American Affairs; CIAA,"Hemisphere information, press, radio, film, education, and graphics agency",1940-1946 source-lead span,Provisional source-map authority; verify against selected source note or administrative record,NARA RG 229,https://www.archives.gov/research/guide-fed-records/groups/229.html,OIAA; OCIAA; Hemisphere,Hemisphere and Cultural Exchange,"","",Organization authority control,Source-note check,"Separate Department of Information records from operational, economic, health, transport, and agriculture programs.",Promote information work; hold non-information programs unless they directly document foreign-audience strategy.,"Normalize office names, agency succession, source notes, annotation, and index terms.",""
AUTH-ORG-012,Office/Organization,"OIAA Department of Information, Radio Division","OIAA Department of Information, Radio Division","OIAA Department of Information, Radio Division",CIAA Radio Division; OIAA Radio Division,"Hemisphere broadcast guidance, reports, and reaction channel",1941-1945 candidate-file span,Provisional source-map authority; verify against selected source note or administrative record,NARA RG 229,https://catalog.archives.gov/search?q=%22Office%20of%20Inter-American%20Affairs%22%20%22Radio%20Division%22,OIAA; Radio; Hemisphere,Hemisphere and Cultural Exchange,"","",Organization authority control,Source-note check,Itemize file units and confirm document-level page/image evidence for RG 229 radio candidates.,"Promote only when radio files show policy guidance, program clearance, or foreign reaction.","Normalize office names, agency succession, source notes, annotation, and index terms.",""
AUTH-ORG-013,Office/Organization,Department of State,Department of State,Department of State,State Department; DOS,"FRUS control anchor for foreign-policy approval, clearance, and handoff",1939-1945 core volume span,Provisional source-map authority; verify against selected source note or administrative record,NARA RG 59,https://www.archives.gov/research/guide-fed-records/groups/059.html,State Department; Foreign Policy,All lanes,"","",Organization authority control,Source-note check,"Attach RG 59 clearance, objection, instruction, or routing evidence to selected OWI/OIAA records.",State-side evidence is the strongest promotion anchor for FRUS selection.,"Normalize office names, agency succession, source notes, annotation, and index terms.",""
AUTH-ORG-014,Office/Organization,Assistant Secretary of State for Public and Cultural Relations,Assistant Secretary of State for Public and Cultural Relations,Assistant Secretary of State for Public and Cultural Relations,Public and Cultural Relations; State public/cultural affairs,State-side public-diplomacy handoff and policy office,1944-1945 handoff lane,Provisional source-map authority; verify against selected source note or administrative record,NARA RG 59 / State authority leads,https://catalog.archives.gov/search?q=%22Public%20and%20Cultural%20Relations%22%20%22Department%20of%20State%22,State Department; Handoff,Peace Aims and Handoff,"","",Organization authority control,Source-note check,Verify title dates and MacLeish role from State files before final annotation.,Use to bridge wartime OWI/OIAA functions into postwar State information programs.,"Normalize office names, agency succession, source notes, annotation, and index terms.",""
AUTH-ORG-015,Office/Organization,Interim International Information Service,Interim International Information Service,Interim International Information Service,IIIS; IIS,Postwar bridge for international information functions,1945 handoff lane,Provisional source-map authority; verify against selected source note or administrative record,NARA Catalog / RG 59 searches,https://catalog.archives.gov/search?q=%22Interim%20International%20Information%20Service%22,State Department; Handoff,Peace Aims and Handoff,"","",Organization authority control,Source-note check,"Confirm exact acronym, office title, and transfer relationship in source copies before annotation.","Use only to explain wartime transfer decisions and immediate continuity, not the postwar volume as a whole.","Normalize office names, agency succession, source notes, annotation, and index terms.",""
AUTH-ORG-016,Office/Organization,Foreign Service Posts,Foreign Service Posts,Foreign Service Posts,Embassy files; Legation files; Consulate files; Post files,"Implementation, clearance, and foreign-reaction evidence abroad",1939-1945 core volume span,Provisional source-map authority; verify against selected source note or administrative record,NARA RG 84,https://www.archives.gov/research/foreign-policy/state-dept/rg-84,Foreign Service; Post Reporting,All foreign lanes,"","",Organization authority control,Source-note check,"Normalize post names, file titles, box/folder locators, and post-officer authorship from RG 84 source copies.",Post reports prove the diplomacy abroad and should be linked to Washington policy nodes.,"Normalize office names, agency succession, source notes, annotation, and index terms.",""
AUTH-ORG-017,Office/Organization,White House,White House,White House,President's Secretary's File; President's Personal File; Official File,"Presidential control, public-line, speech, and decision evidence",1939-1945 core volume span,Provisional source-map authority; verify against selected source note or administrative record,FDR Library / NARA Catalog,https://www.fdrlibrary.org/collections-list,White House; Public Line,Creating War Information; Peace Aims and Handoff,"","",Organization authority control,Source-note check,"Confirm collection, series, box, folder, and item/page image before final source note.","Use public-line material when it connects to drafts, routing, treatment, clearance, or reception.","Normalize office names, agency succession, source notes, annotation, and index terms.",""
AUTH-ORG-018,Office/Organization,War Department Bureau of Public Relations,War Department Bureau of Public Relations,War Department Bureau of Public Relations,Bureau of Public Relations; War Department PR,Military public-relations boundary source,1941-1945 boundary span,Provisional source-map authority; verify against selected source note or administrative record,NARA RG 107,https://www.archives.gov/research/guide-fed-records/groups/107.html,War Department; Boundary,OWI Overseas and VOA,"","",Organization authority control,Source-note check,Promote only when War Department records show interagency public-diplomacy policy or diplomatic controversy.,Keep routine military publicity outside the main chronology.,"Normalize office names, agency succession, source notes, annotation, and index terms.",""
AUTH-ORG-019,Office/Organization,War Department General and Special Staffs,War Department General and Special Staffs,War Department General and Special Staffs,RG 165; MID; Propaganda Branch,Military intelligence and propaganda boundary/source-copy lane,1941-1945 boundary span,Provisional source-map authority; verify against selected source note or administrative record,NARA RG 165,https://www.archives.gov/research/guide-fed-records/groups/165.html,War Department; Psychological Warfare; Boundary,OWI Overseas and VOA,"","",Organization authority control,Source-note check,Tie RG 165 propaganda directives to OWI/State coordination before promotion.,"Boundary source unless interagency policy, foreign-audience strategy, or diplomatic coordination is evident.","Normalize office names, agency succession, source notes, annotation, and index terms.",""
AUTH-ORG-020,Office/Organization,War Refugee Board,War Refugee Board,War Refugee Board,WRB,Rescue-information and public-pressure boundary source,1944-1945 boundary span,Provisional source-map authority; verify against selected source note or administrative record,FDR Library / NARA leads,https://catalog.archives.gov/search?q=%22War%20Refugee%20Board%22%20public%20information,War Refugee Board; Boundary,Peace Aims and Handoff,"","",Organization authority control,Source-note check,"Use only if public communications connect to embassy action, foreign policy, or information strategy.",Humanitarian/rescue operations are not main public-diplomacy documents unless the information-policy link is explicit.,"Normalize office names, agency succession, source notes, annotation, and index terms.",""
AUTH-ORG-021,Office/Organization,Political Warfare Executive,Political Warfare Executive,Political Warfare Executive,PWE,Allied crosswalk for OWI/PWE central directives,1944-1945 supplemental lane,Provisional source-map authority; verify against selected source note or administrative record,NARA RG 208 candidate leads,https://catalog.archives.gov/search?q=%22Political%20Warfare%20Executive%22%20%22Office%20of%20War%20Information%22,Allied Records; OWI; Boundary,OWI Overseas and VOA,"","",Organization authority control,Source-note check,"Use PWE rows as crosswalks to U.S. OWI/State decisions, not as substitutes for U.S. official records.",Supplemental unless U.S. source copies document coordination or adoption.,"Normalize office names, agency succession, source notes, annotation, and index terms.",""
AUTH-ORG-022,Office/Organization,Franklin D. Roosevelt Presidential Library and Museum,Franklin D. Roosevelt Presidential Library and Museum,Franklin D. Roosevelt Presidential Library and Museum,FDR Library; FRANKLIN,"Repository authority for presidential papers, public-line files, and related manuscript collections",Repository/source-family row,Provisional source-map authority; verify against selected source note or administrative record,FDR Library,https://www.fdrlibrary.org/digital-collections,Repository; White House,All White House lanes,"","",Organization authority control,Source-note check,"Record collection, series, box, folder, item title, and image/page range before final citation.",Repository row; not a document subject unless repository provenance must be explained.,"Normalize office names, agency succession, source notes, annotation, and index terms.",""
