Assembly ID,Working Document Slot,Final FRUS Number,Chapter Number,Chapter Title,Chapter Slot,Section Heading,Candidate ID,Chronology ID,Decision ID,Packet ID,Duplicate ID,Citation ID,Sort Key,Display Date,Title,Lane,Editorial Role,Assembly Function,Priority,Assembly Recommendation,Placement Rationale,Selection Gate,Source Copy Gate,Duplicate Gate,Citation Gate,Authority Gate,Evidence Gate,Boundary Gate,Gate Summary,Draft Headnote Or Annotation Task,Related Pull Sheets,Related Docket,Source Locator,Catalog URL,FRUS Search URL,Source Note,Next Assembly Action,Compiler Owner,Assembly Review Date,Notes
ASM-001,WDS-001,Unassigned pending final selection,2,Creating War Information and White House Control,CH2-S01,White House control and OWI creation files,DOC50-041,CHR-001,SEL-041,PKT-041,DUP-001,CITE-001,1942-01-01,1942-1944,"Office of War Information, 1942-1944",Creating War Information,White House control,Control / authority document,High,Hold pending source-copy and duplicate proof,Use to establish who controlled or cleared wartime public-information policy before lower-level implementation documents are promoted.,Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain presidential or White House control, relation to OWI creation or guidance, and any linked public-line or State clearance evidence.",PULL-008,DKT-001; DKT-005; DKT-008; DKT-007,NAID 16620603,https://catalog.archives.gov/id/16620603,https://history.state.gov/search?q=%22Office%20of%20War%20Information%2C%201942-1944%22,"FDR Library via NARA Catalog, President's Secretary's File, Subject Files, Office of War Information, 1942-1944, NAID 16620603.","Pull folder-level source copies and identify FDR action, White House routing, or relation to State/OWI decisions. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-002,WDS-002,Unassigned pending final selection,4,Hemisphere Information and Cultural Exchange,CH4-S01,OIAA radio reaction and operating evidence,DOC50-048,CHR-002,SEL-048,PKT-048,DUP-002,CITE-002,1942-01-01,1942,Radio Reaction Reports,Hemisphere and Cultural Exchange,Reception / operations evidence,Reception / operations evidence,High,Itemize file unit before decision,"Use as supporting evidence for reception, monitoring, or operational performance after pairing with a policy document.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,Explain how reception or operations evidence corroborates a policy or implementation document.,PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,NAID 782735,https://catalog.archives.gov/id/782735,https://history.state.gov/search?q=%22Radio%20Reaction%20Reports%22%20%22Inter-American%22,"NARA RG 229, Office of the Coordinator of Inter-American Affairs, Department of Information, Radio Division, Radio Reaction Reports, NAID 782735.","Itemize the file unit and pair radio operation or reaction evidence with RG 59/RG 84 State documentation. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-003,WDS-003,Unassigned pending final selection,2,Creating War Information and White House Control,CH2-S02,White House control and OWI creation files,DOC50-043,CHR-003,SEL-043,PKT-043,DUP-003,CITE-003,1942-06-01,June 1942,"Office of War Information - Survey of Intelligence, June 1942",Creating War Information,White House control,Control / authority document,Medium,Hold pending source-copy and duplicate proof,Use to establish who controlled or cleared wartime public-information policy before lower-level implementation documents are promoted.,Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain presidential or White House control, relation to OWI creation or guidance, and any linked public-line or State clearance evidence.",PULL-008,DKT-001; DKT-005; DKT-008; DKT-007,NAID 16620611,https://catalog.archives.gov/id/16620611,https://history.state.gov/search?q=%22Office%20of%20War%20Information%20-%20Survey%20of%20Intelligence%2C%20June%201942%22,"FDR Library via NARA Catalog, President's Secretary's File, Subject Files, Office of War Information - Survey of Intelligence, June 1942, NAID 16620611.","Pull folder-level source copies and identify FDR action, White House routing, or relation to State/OWI decisions. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-004,WDS-004,Unassigned pending final selection,2,Creating War Information and White House Control,CH2-S03,White House control and OWI creation files,DOC50-044,CHR-004,SEL-044,PKT-044,DUP-004,CITE-004,1942-08-01,August 1942,"Office of War Information - Survey of Intelligence, August 1942",Creating War Information,White House control,Control / authority document,Medium,Hold pending source-copy and duplicate proof,Use to establish who controlled or cleared wartime public-information policy before lower-level implementation documents are promoted.,Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain presidential or White House control, relation to OWI creation or guidance, and any linked public-line or State clearance evidence.",PULL-008,DKT-001; DKT-005; DKT-008; DKT-007,NAID 16620616,https://catalog.archives.gov/id/16620616,https://history.state.gov/search?q=%22Office%20of%20War%20Information%20-%20Survey%20of%20Intelligence%2C%20August%201942%22,"FDR Library via NARA Catalog, President's Secretary's File, Subject Files, Office of War Information - Survey of Intelligence, August 1942, NAID 16620616.","Pull folder-level source copies and identify FDR action, White House routing, or relation to State/OWI decisions. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-005,WDS-005,Unassigned pending final selection,1,Prewar Information Policy and Predecessor Controls,CH1-S01,Predecessor and domestic-boundary evidence,DOC50-046,CHR-005,SEL-046,PKT-046,DUP-005,CITE-005,1942-11-19,"November 19, 1942","Memorandum to Philleo Nash from Leo C. Rosten, with attachment",Prewar Information Policy,Boundary memo,Boundary or context document,Medium,Boundary review before promotion,"Use only if the source copy shows foreign-policy significance, State/White House/OWI coordination, or a direct public-diplomacy decision.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain why this boundary record is included, held, or excluded under public-diplomacy selection rules.",PULL-009,DKT-001; DKT-005; DKT-008,NAID 509549657,https://catalog.archives.gov/id/509549657,https://history.state.gov/search?q=%22Memorandum%20to%20Philleo%20Nash%20from%20Leo%20C.%20Rosten%22,"FDR Library via NARA Catalog, Philleo Nash Papers, Office of War Information Files, Rumors memoranda for editors and publishers, NAID 509549657.","Review the source copy for foreign-audience, overseas information, State policy, or White House public-line control before any promotion. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-006,WDS-006,Unassigned pending final selection,2,Creating War Information and White House Control,CH2-S04,White House control and OWI creation files,DOC50-042,CHR-006,SEL-042,PKT-042,DUP-006,CITE-006,1942-12-01,1942-1945,Office of War Information confidential file,Creating War Information,White House control,Control / authority document,High,Hold pending source-copy and duplicate proof,Use to establish who controlled or cleared wartime public-information policy before lower-level implementation documents are promoted.,Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain presidential or White House control, relation to OWI creation or guidance, and any linked public-line or State clearance evidence.",PULL-008,DKT-001; DKT-005; DKT-008; DKT-007,NAID 16609748,https://catalog.archives.gov/id/16609748,https://history.state.gov/search?q=%22Office%20of%20War%20Information%20confidential%20file%22,"FDR Library via NARA Catalog, President's Secretary's File, Confidential Files, Office of War Information, NAID 16609748.","Pull folder-level source copies and identify FDR action, White House routing, or relation to State/OWI decisions. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-007,WDS-007,Unassigned pending final selection,2,Creating War Information and White House Control,CH2-S05,White House control and OWI creation files,DOC50-045,CHR-007,SEL-045,PKT-045,DUP-007,CITE-007,1942-12-01,December 1942,"Office of War Information - Survey of Intelligence, December 1942",Creating War Information,White House control,Control / authority document,Medium,Hold pending source-copy and duplicate proof,Use to establish who controlled or cleared wartime public-information policy before lower-level implementation documents are promoted.,Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain presidential or White House control, relation to OWI creation or guidance, and any linked public-line or State clearance evidence.",PULL-008,DKT-001; DKT-005; DKT-008; DKT-007,NAID 16620625,https://catalog.archives.gov/id/16620625,https://history.state.gov/search?q=%22Office%20of%20War%20Information%20-%20Survey%20of%20Intelligence%2C%20December%201942%22,"FDR Library via NARA Catalog, President's Secretary's File, Subject Files, Office of War Information - Survey of Intelligence, December 1942, NAID 16620625.","Pull folder-level source copies and identify FDR action, White House routing, or relation to State/OWI decisions. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-008,WDS-008,Unassigned pending final selection,1,Prewar Information Policy and Predecessor Controls,CH1-S02,Predecessor and domestic-boundary evidence,DOC50-047,CHR-008,SEL-047,PKT-047,DUP-008,CITE-008,1943-04-30,October 1942-April 1943,"Letter to Warren B. Walsh from Leo C. Rosten, with attachments",Prewar Information Policy,Boundary memo,Boundary or context document,Low,Boundary review before promotion,"Use only if the source copy shows foreign-policy significance, State/White House/OWI coordination, or a direct public-diplomacy decision.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Boundary review required,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Boundary review required,"Explain why this boundary record is included, held, or excluded under public-diplomacy selection rules.",PULL-009,DKT-001; DKT-005; DKT-008,NAID 509549751,https://catalog.archives.gov/id/509549751,https://history.state.gov/search?q=%22Letter%20to%20Warren%20B.%20Walsh%20from%20Leo%20C.%20Rosten%22,"FDR Library via NARA Catalog, Philleo Nash Papers, Office of War Information Files, Rumors-Syracuse University Rumor Clinic, NAID 509549751.","Review the source copy for foreign-audience, overseas information, State policy, or White House public-line control before any promotion. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-009,WDS-009,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S01,OWI long-range policy and broadcast guidance,DOC50-019,CHR-009,SEL-019,PKT-019,DUP-009,CITE-009,1943-05-01,May 1943,Weekly Propaganda Directive: Poland,OWI Overseas and VOA,Policy guidance,Policy directive / guidance document,Critical,Priority promotion review after source copy,"Use as a policy spine candidate that can anchor later implementation, post reporting, or reaction evidence.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Explain issuing authority, target audience or theater, relationship to State/OWI policy, and downstream implementation or reaction records needed.","",DKT-001; DKT-005; DKT-008; DKT-004,NAID 6851138,https://catalog.archives.gov/id/6851138,https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%3A%20Poland%22,"NARA RG 208, Records of the Office of War Information, Record Set of Policy Directives, Regional Directives-May 1943, NAID 6851138.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-010,WDS-010,Unassigned pending final selection,2,Creating War Information and White House Control,CH2-S06,Interagency coordination and intelligence boundary,DOC50-031,CHR-010,SEL-031,PKT-031,DUP-010,CITE-010,1943-09-01,September 1943-June 1944,OWI-OSS Relations,Creating War Information,Policy coordination,Coordination bridge document,High,Hold pending source-copy and duplicate proof,"Use to show interagency coordination, Allied crosswalks, or boundary relationships that explain how public diplomacy was governed.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Draft a short annotation that ties the record to policy, implementation, reaction, source-copy, duplicate, citation, and authority gates.",PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,NAID 4732416,https://catalog.archives.gov/id/4732416,https://history.state.gov/search?q=%22OWI-OSS%20Relations%22,"NARA RG 208, Record Set of Policy Directives, OWI-OSS Relations-September 1943-June 1944, NAID 4732416.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-011,WDS-011,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S02,OWI policy coordination and Allied directive crosswalks,DOC50-030,CHR-011,SEL-030,PKT-030,DUP-011,CITE-011,1943-10-01,October 1943-September 1945,Special Guidances-Moscow Cables on Directives,OWI Overseas and VOA,Policy coordination,Coordination bridge document,High,Hold pending source-copy and duplicate proof,"Use to show interagency coordination, Allied crosswalks, or boundary relationships that explain how public diplomacy was governed.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Draft a short annotation that ties the record to policy, implementation, reaction, source-copy, duplicate, citation, and authority gates.",PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,NAID 4732413,https://catalog.archives.gov/id/4732413,https://history.state.gov/search?q=%22Special%20Guidances-Moscow%20Cables%20on%20Directives%22,"NARA RG 208, Record Set of Policy Directives, Special Guidances-Moscow Cables on Directives-October 1943-September 1945, NAID 4732413.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-012,WDS-012,Unassigned pending final selection,4,Hemisphere Information and Cultural Exchange,CH4-S02,OIAA radio reaction and operating evidence,DOC50-050,CHR-012,SEL-050,PKT-050,DUP-012,CITE-012,1943-12-31,1941-1943,Radio Division Reports and Issuances,Hemisphere and Cultural Exchange,Reception / operations evidence,Reception / operations evidence,High,Itemize file unit before decision,"Use as supporting evidence for reception, monitoring, or operational performance after pairing with a policy document.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,Explain how reception or operations evidence corroborates a policy or implementation document.,PULL-007,DKT-001; DKT-005; DKT-008; DKT-003; DKT-006,NAID 2102898,https://catalog.archives.gov/id/2102898,https://history.state.gov/search?q=%22Radio%20Division%20Reports%20and%20Issuances%22,"NARA RG 229, Office of the Coordinator of Inter-American Affairs, Department of Information, Radio Division, Reports and Issuances, NAID 2102898.","Itemize the file unit and pair radio operation or reaction evidence with RG 59/RG 84 State documentation. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-013,WDS-013,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S03,OWI policy coordination and Allied directive crosswalks,DOC50-032,CHR-013,SEL-032,PKT-032,DUP-013,CITE-013,1944-01-01,January-December 1944,Political Warfare Executive Central Directives,OWI Overseas and VOA,Policy coordination,Coordination bridge document,Medium,Hold pending source-copy and duplicate proof,"Use to show interagency coordination, Allied crosswalks, or boundary relationships that explain how public diplomacy was governed.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Not yet ruled,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Not yet ruled,"Draft a short annotation that ties the record to policy, implementation, reaction, source-copy, duplicate, citation, and authority gates.",PULL-004,DKT-001; DKT-005; DKT-008; DKT-004,NAID 4732424,https://catalog.archives.gov/id/4732424,https://history.state.gov/search?q=%22Political%20Warfare%20Executive%20Central%20Directives%22%20%221944%22,"NARA RG 208, Record Set of Policy Directives, Political Warfare Executive Central Directives-January-December 1944, NAID 4732424.","Pull directive source copy, extract issuing office and target themes, then pair with implementation or reaction evidence before promotion. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-014,WDS-014,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S04,Psychological-warfare and directive boundary checks,DOC50-038,CHR-014,SEL-038,PKT-038,DUP-014,CITE-014,1944-01-01,1944-1945,Weekly Propaganda Directive Office of War Information Sweden,OWI Overseas and VOA,Boundary directive,Boundary or context document,Medium,Boundary review before promotion,"Use only if the source copy shows foreign-policy significance, State/White House/OWI coordination, or a direct public-diplomacy decision.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Boundary review required,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Boundary review required,"Explain why this boundary record is included, held, or excluded under public-diplomacy selection rules.",PULL-010,DKT-001; DKT-005; DKT-008; DKT-004,NAID 2149198,https://catalog.archives.gov/id/2149198,https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Sweden%22,"NARA RG 165, Weekly Propaganda Directive Office of War Information Sweden, NAID 2149198.","Apply the boundary rule: promote only if the record shows State/OWI coordination, diplomatic controversy, or public-diplomacy policy beyond tactical warfare. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-015,WDS-015,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S05,Psychological-warfare and directive boundary checks,DOC50-039,CHR-015,SEL-039,PKT-039,DUP-015,CITE-015,1944-01-01,1944-1945,Weekly Propaganda Directive Office of War Information Iberia,OWI Overseas and VOA,Boundary directive,Boundary or context document,Medium,Boundary review before promotion,"Use only if the source copy shows foreign-policy significance, State/White House/OWI coordination, or a direct public-diplomacy decision.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Boundary review required,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Boundary review required,"Explain why this boundary record is included, held, or excluded under public-diplomacy selection rules.",PULL-010,DKT-001; DKT-005; DKT-008; DKT-004,NAID 2149195,https://catalog.archives.gov/id/2149195,https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Iberia%22,"NARA RG 165, Weekly Propaganda Directive Office of War Information Iberia, NAID 2149195.","Apply the boundary rule: promote only if the record shows State/OWI coordination, diplomatic controversy, or public-diplomacy policy beyond tactical warfare. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
ASM-016,WDS-016,Unassigned pending final selection,3,"OWI Overseas, VOA, Directives, and Outposts",CH3-S06,Psychological-warfare and directive boundary checks,DOC50-040,CHR-016,SEL-040,PKT-040,DUP-016,CITE-016,1944-01-01,1944-1945,"Weekly Propaganda Directive Office of War Information Norway, Netherlands, Middle East",OWI Overseas and VOA,Boundary directive,Boundary or context document,Medium,Boundary review before promotion,"Use only if the source copy shows foreign-policy significance, State/White House/OWI coordination, or a direct public-diplomacy decision.",Pending review,Needed,Unchecked,Pending source-copy citation,Check persons and offices against authority-control register before final annotation,Evidence cross-reference not yet assigned,Boundary review required,selection: Pending review; source copy: Needed; duplicate: Unchecked; citation: Pending source-copy citation; authority: needed; evidence: Evidence cross-reference not yet assigned; boundary: Boundary review required,"Explain why this boundary record is included, held, or excluded under public-diplomacy selection rules.",PULL-010,DKT-001; DKT-005; DKT-008; DKT-004,NAID 2149196,https://catalog.archives.gov/id/2149196,https://history.state.gov/search?q=%22Weekly%20Propaganda%20Directive%20Office%20of%20War%20Information%20Norway%20Netherlands%20Middle%20East%22,"NARA RG 165, Weekly Propaganda Directive Office of War Information Norway, Netherlands, Middle East #39, NAID 2149196.","Apply the boundary rule: promote only if the record shows State/OWI coordination, diplomatic controversy, or public-diplomacy policy beyond tactical warfare. After source copy arrives, decide promote/hold/exclude, assign final number, normalize source note, and draft headnote/annotation.","","",""
