Request ID,Priority,Request Status,Lane,Repository,Title,Objective,Candidate IDs,Request Text,Pull List,Deliverable,Links,Source Note,Date Requested,Date Received,Source Copy Location,Follow Up Needed,Notes
PULL-001,Critical,Draft,OWI Overseas and VOA,NARA,RG 59 OWI 103.9166 purport-card source-copy batch,Turn the strongest State/OWI purport cards into source-copy requests for the underlying Central Decimal File documents.,DOC50-009; DOC50-010; DOC50-011; DOC50-012; DOC50-013; DOC50-014; DOC50-015; DOC50-016; DOC50-017; DOC50-018,"Request RG 59 Central Decimal Files source copies for 1944 files 103.9166/7-844, 103.9166/7-944, 103.9166/7-1044, 103.9166/8-844, 103.9166/9-244, 103.9166/10-3144, and 103.9166/12-644, identified through Purport Lists and Cards, NAID 88176221, M973 roll 607 images 0500, 0550, 0600, 0700, and 0750.","DOC50-009 through DOC50-018; especially Balkan affairs, Allied propaganda for Italy, Central Directive from OWI, Iceland Outpost, Manchester Information Center, Las Palmas broadcasts, and New Zealand informational activities.","One source-copy packet per file number with date, author/post, recipient, full text, enclosures, and FRUS-worthiness note.",NARA purport file unit: https://catalog.archives.gov/id/88176221; Central Decimal Files: https://catalog.archives.gov/id/302021,"First pull sheet generated from RG 59 Purport Lists and Cards, NAID 88176221, and candidate documents DOC50-009 through DOC50-018.",,,,,
PULL-002,Critical,Draft,Hemisphere and Cultural Exchange,NARA,RG 59 CIAA/OIAA 103.9161 purport-card source-copy batch,"Extract the highest-value State/CIAA radio, motion picture, and information-service cables for Latin America.",DOC50-001; DOC50-002; DOC50-003; DOC50-004; DOC50-005; DOC50-006; DOC50-007; DOC50-008,"Request RG 59 Central Decimal Files source copies for 1944 files 103.9161/9-944, 103.9161/9-2144, 103.9161/9-2244, 103.9161/10-2044, 103.9161/11-2044, 103.9161/11-2144, and 103.9161/12-644, identified through Purport Lists and Cards, NAID 88176221, M973 roll 607 images 0095, 0100, 0110, 0120, and 0125.","DOC50-001 through DOC50-008; prioritize Spanish-language shortwave service, WNBI reception, motion-picture questionnaire, program numbers, English shortwave schedule, Hemisphere information service, and Rockefeller-Picado message.","A Latin America source-copy packet with file numbers, posts, CIAA office routing, audience/reception evidence, and cross-links to RG 229.",NARA purport file unit: https://catalog.archives.gov/id/88176221; 103.9161 search: https://catalog.archives.gov/search?q=103.9161&recordGroupNumber=59,"First pull sheet generated from RG 59 Purport Lists and Cards, NAID 88176221, and candidate documents DOC50-001 through DOC50-008.",,,,,
PULL-003,Critical,Draft,Peace Aims and Handoff,NARA,RG 208 long-range policy directive batch,"Recover the directive texts that define U.S. public-diplomacy themes for Germany, France, Austria, Poland, Czechoslovakia, Switzerland, and Thailand.",DOC50-020; DOC50-021; DOC50-022; DOC50-023; DOC50-024; DOC50-025; DOC50-026; DOC50-027; DOC50-028; DOC50-035,"Request RG 208 Record Set of Policy Directives source copies for NAIDs 4732380, 4732379, 4732381, 4732378, 4732367, 4732395, 4732375, 4732402, 4732392, and 4732400.","DOC50-020 through DOC50-028 and DOC50-035; place Germany 1944/1945, France, Austria, Poland, Czechoslovakia, Switzerland, Netherlands, and Thailand directives in one comparison packet.","Directive transcript packet with issue date, target country, themes, approving office, successor/handoff implications, and FRUS duplicate check.",Record Set of Policy Directives: https://catalog.archives.gov/id/648565; Germany directive: https://catalog.archives.gov/id/4732380,First pull sheet generated from RG 208 Record Set of Policy Directives and candidate documents DOC50-020 through DOC50-028 and DOC50-035.,,,,,
PULL-004,High,Draft,OWI Overseas and VOA,NARA,"RG 208 special guidances, London/Moscow cables, OWI-OSS, and PWE crosswalk",Build the interagency and Allied boundary packet so the volume can include policy coordination without drifting into intelligence or military propaganda.,DOC50-029; DOC50-030; DOC50-031; DOC50-032; DOC50-033; DOC50-034,"Request RG 208 Record Set of Policy Directives source copies for NAIDs 4732414, 4732413, 4732416, 4732424, 4732319, and 4732351.","DOC50-029 through DOC50-034; include London policy directives, Moscow cables on directives, OWI-OSS Relations, Political Warfare Executive Central Directives, Central Directives May-June 1944, and Regional Directives September 1944.","Coordination packet tagging each document as Promote, Boundary, or Supporting Context under the selection rules.",London directives: https://catalog.archives.gov/id/4732414; Moscow cables: https://catalog.archives.gov/id/4732413; OWI-OSS Relations: https://catalog.archives.gov/id/4732416,First pull sheet generated from RG 208 special guidance/directive file units and candidate documents DOC50-029 through DOC50-034.,,,,,
PULL-005,High,Draft,OWI Overseas and VOA,NARA,RG 84 London post-file crosscheck,Pair OWI London and British public-information policy with embassy reporting and State-post cable traffic.,DOC50-012; DOC50-013; DOC50-029; DOC50-032,"Search RG 84 U.S. Embassy Great Britain Classified General Records, NAID 1667864, 1942-1945 folders for OWI, Office of War Information, USIS, BBC, Ministry of Information, radio, propaganda, films, press, and United Nations.","Use with DOC50-012, DOC50-013, DOC50-029, and DOC50-032; collect embassy reaction, clearance, or host-government evidence for the same dates.","London crosswalk tying RG 208 directives, RG 59 purport cards, and RG 84 post reporting by date and subject.",London RG 84 series: https://catalog.archives.gov/id/1667864,Post-file pull sheet generated from RG 84 London State cable lead and the 50-document candidate register.,,,,,
PULL-006,High,Draft,OWI Overseas and VOA,NARA,Neutral Europe post-file sweep,"Collect post reaction and implementation evidence from Lisbon, Madrid, Stockholm, and Bern.",DOC50-011; DOC50-015; DOC50-017; DOC50-027; DOC50-038; DOC50-039,"Search RG 84 post files for Portugal NAIDs 1801218 and 1766818, Spain NAID 1728932, Sweden NAID 1871966, and Switzerland NAID 1884125, using OWI, USIS, radio, press, propaganda, films, censorship, and information terms for 1942-1945.","Pair results with DOC50-011, DOC50-015, DOC50-017, DOC50-027, DOC50-038, and DOC50-039.","Neutral Europe reaction matrix with one policy directive, one post implementation record, and one reception/host-government note per country if available.",Portugal: https://catalog.archives.gov/id/1801218; Spain: https://catalog.archives.gov/id/1728932; Sweden: https://catalog.archives.gov/id/1871966; Switzerland: https://catalog.archives.gov/id/1884125,Post-file pull sheet generated from RG 84 neutral Europe State cable leads.,,,,,
PULL-007,High,Draft,Hemisphere and Cultural Exchange,NARA,Latin America post files plus RG 229 radio reaction,Pair State/CIAA cable candidates with embassy implementation and listener-response records.,DOC50-001; DOC50-002; DOC50-003; DOC50-004; DOC50-005; DOC50-006; DOC50-007; DOC50-008; DOC50-048; DOC50-049; DOC50-050,"Search RG 84 Mexico NAID 1677124, Brazil NAIDs 1518696 and 1518701, Argentina NAID 1565938, Chile NAIDs 1613201 and 1613203, and Cuba NAID 1609355 for OIAA, OCIAA, CIAA, OWI, information, radio, WNBI, films, press, shortwave, and propaganda. Pull RG 229 Radio Reaction Reports NAID 782735 in parallel.",Use with DOC50-001 through DOC50-008 and DOC50-048 through DOC50-050.,"Latin America evidence packet with State cable, post report, OIAA radio/reaction record, and selection rationale for each promoted document.",Mexico post files: https://catalog.archives.gov/id/1677124; Brazil post files: https://catalog.archives.gov/id/1518696; Radio Reaction Reports: https://catalog.archives.gov/id/782735,"Post-file pull sheet generated from RG 59 103.9161 cards, RG 84 Latin America post leads, and RG 229 radio candidates.",,,,,
PULL-008,High,Draft,Creating War Information,FDR Library / NARA Catalog,FDR Library OWI White House decision packet,"Find the White House-side documents behind OWI creation, oversight, controversy, and intelligence/research reporting.",DOC50-041; DOC50-042; DOC50-043; DOC50-044; DOC50-045,"Pull FDR Library President's Secretary's File records shown in NARA Catalog as NAIDs 16620603, 16609748, 16620611, 16620616, and 16620625, plus adjacent Survey of Intelligence months if the file structure warrants.","DOC50-041 through DOC50-045; extract author, recipient, routing, FDR action, and relation to State/OWI decisions.","White House decision packet with source-copy images, folder title, date span, and promote/hold recommendation for each document.",OWI subject file: https://catalog.archives.gov/id/16620603; OWI confidential file: https://catalog.archives.gov/id/16609748,White House pull sheet generated from FDR Library President's Secretary's File candidates.,,,,,
PULL-009,Medium,Draft,Prewar Information Policy,FDR Library / NARA Catalog,Philleo Nash and Leo Rosten rumor-control boundary review,Decide whether rumor-control records are foreign-policy evidence or domestic morale context.,DOC50-046; DOC50-047,"Review digitized NARA Catalog source copies for NAIDs 509549657 and 509549751. Extract only passages that tie rumor-control guidance to foreign audiences, overseas information, State policy, or White House public-line control.",DOC50-046 and DOC50-047.,"Boundary memo deciding Promote, Supporting Context, or Exclude, with exact quoted passages if promoted.",Rosten memo: https://catalog.archives.gov/id/509549657; Rosten/Walsh letter: https://catalog.archives.gov/id/509549751,Boundary pull sheet generated from Philleo Nash Papers OWI rumor-control records.,,,,,
PULL-010,Medium,Draft,OWI Overseas and VOA,NARA,RG 165 weekly propaganda directive boundary batch,Test whether War Department-held OWI propaganda directives belong in this diplomatic volume or only support military boundary notes.,DOC50-036; DOC50-037; DOC50-038; DOC50-039; DOC50-040,"Request or review NARA RG 165 NAIDs 2149194, 2149191, 2149198, 2149195, and 2149196. Include only directives that show State, OWI, diplomatic, or foreign public-diplomacy policy significance beyond tactical psychological warfare.",DOC50-036 through DOC50-040.,"Boundary table with directive, target country/region, origin, State/OWI connection, and disposition.",Germany directive: https://catalog.archives.gov/id/2149194; Iberia directive: https://catalog.archives.gov/id/2149195,Boundary pull sheet generated from RG 165 weekly propaganda directive candidates.,,,,,
PULL-011,Critical,Draft,Peace Aims and Handoff,History.state.gov,FRUS duplicate and citation gate for all 50 candidates,Prevent duplicate publication and preserve the audit trail for every promoted candidate.,,"For each DOC50 row, save the History.state.gov exact-title or exact-file-number search result, then rerun a broader search on key author/post/topic terms before promotion. Record search URL, date checked, result count, and decision.","All DOC50 rows, especially high-priority RG 59 file-number candidates and RG 208 policy directives.","A duplicate-check ledger with exact search, broad search, source-copy status, and promote/hold/exclude result.",History search: https://history.state.gov/search,Quality-gate pull sheet generated from the 50-document candidate register and public FRUS exact-match checks.,,,,,
PULL-012,Critical,Draft,Creating War Information,Cross-repository,Source-copy packet template for promoted documents,Standardize what the compiler needs before any candidate can become a retro FRUS document.,,"For each promoted candidate, prepare a packet with repository, record group/collection, series, folder or file number, NAID or box/file locator, document date, author, recipient, classification, full text or image link, enclosures, FRUS duplicate check, selection rationale, boundary ruling, and cross-references to policy, implementation, and reaction evidence.","Apply to every promoted DOC50, State Cable, Evidence Packet, and Document Intake row.",Compiler-ready packet for each promoted document; no row advances without source-copy proof and duplicate-check evidence.,Official volume: https://history.state.gov/historicaldocuments/frus1917-72PubDipv03; Status page: https://history.state.gov/historicaldocuments/status-of-the-series,Quality-gate pull sheet generated to make the candidate register usable for FRUS source-copy selection.,,,,,
